WorkerId,AssignmentId,Approve? (A/R),Feedback?,"Grant Bonus? (amount,reason)",attribute,answers,,,,,,,,,,,,,,,,,,
A03922113RU44GENR8ATX,a,,,intrusiveness_1:07:00::,not_intrusive : 0,encroaching : 18,intrusive : 20,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 17,astringent : 20,,,,,,,,,,,,,,,,,
AB98SGS280TY5,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 19,astringent : 20,,,,,,,,,,,,,,,,,
A3GLMBZSG3VU4P,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 11,astringent : 20,,,,,,,,,,,,,,,,,
A3T8J0PN3DLSTM,a,,,clarity_1:07:01::,puzzling : 0,unclear : 0,vague : 0,blurred : 1,broad : 2,lucid : 18,distinct : 19,vivid : 19,clear : 20,prima_facie : 20,unmistakable : 20,,,,,,,,,
A3K8M2HF171NED,a,,"(0.25, 'n/a')",clarity_1:07:01::,puzzling : 0,unclear : 0,blurred : 1,vague : 3,broad : 7,prima_facie : 10,clear : 18,distinct : 19,lucid : 19,unmistakable : 20,vivid : 20,,,,,,,,,
A3GLMBZSG3VU4P,a,,"(0.25, 'n/a')",clarity_1:07:01::,blurred : 0,puzzling : 0,unclear : 0,vague : 0,broad : 12,vivid : 18,unmistakable : 19,clear : 20,distinct : 20,lucid : 20,,,,,,,,,,
A1HKYY6XI2OHO1,a,,"(0.5, 'n/a')",assurance_1:09:00::,doubtful : 0,uncertain : 0,groping : 3,ambivalent : 10,certain : 20,positive : 20,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",assurance_1:09:00::,doubtful : 0,uncertain : 1,ambivalent : 9,groping : 11,positive : 18,certain : 20,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",assurance_1:09:00::,doubtful : 3,groping : 5,uncertain : 7,ambivalent : 8,certain : 18,positive : 19,,,,,,,,,,,,,,
AAJ5CS1GQYADR,a,,"(0.1, 'n/a')",loyalty_1:07:00::,disloyal : 0,mutinous : 0,recreant : 0,traitorous : 0,rebellious : 1,subversive : 1,allegiant : 20,loyal : 20,,,,,,,,,,,,
A03922113RU44GENR8ATX,a,,"(0.1, 'n/a')",loyalty_1:07:00::,mutinous : 0,subversive : 0,traitorous : 0,disloyal : 1,rebellious : 1,allegiant : 19,loyal : 19,doglike : 20,liege : 20,true-blue : 20,,,,,,,,,,
A1LSEVXPEYMJL7,a,,"(0.25, 'n/a')",breakableness_1:07:00::,frangible : 0,unbreakable : 0,infrangible : 1,shatterproof : 1,short : 10,delicate : 18,friable : 19,splintery : 19,breakable : 20,brittle : 20,,,,,,,,,,
A1A6DUWWGNEE4W,r,,,breakableness_1:07:00::,breakable : 0,friable : 1,frangible : 2,delicate : 3,splintery : 5,short : 9,infrangible : 12,brittle : 14,shatterproof : 18,unbreakable : 20,,,,,,,,,,
A3I1UEEBAK8FGH,a,,"(0.25, 'n/a')",connection_1:24:00::,apart : 0,separate : 0,unattached : 0,unconnected : 0,uncoupled : 0,exploded : 5,contiguous : 14,engaged : 14,neighboring : 14,joined : 19,well-connected : 19,affined : 20,asternal : 20,connected : 20,,,,,,
A61GHYNS1DFT7,a,,"(0.25, 'n/a')",connection_1:24:00::,apart : 1,separate : 3,unattached : 3,unconnected : 3,uncoupled : 3,asternal : 6,affined : 14,connected : 14,joined : 14,neighboring : 14,contiguous : 16,engaged : 16,well-connected : 18,,,,,,,
AMX5R6NLYNA2K,a,,"(0.25, 'n/a')",connection_1:24:00::,apart : 0,separate : 0,unattached : 0,unconnected : 0,uncoupled : 0,asternal : 1,exploded : 1,adjunctive : 19,contiguous : 19,joined : 19,well-connected : 19,affined : 20,connected : 20,engaged : 20,neighboring : 20,,,,,
A3K8M2HF171NED,a,,"(0.25, 'n/a')",practicality_1:07:00::,unfunctional : 0,impractical : 1,unwieldy : 1,functional : 4,unimaginative : 7,crazy : 9,meshuga : 9,romantic : 9,applicative : 10,interoperable : 12,practical : 14,serviceable : 16,pragmatic : 17,working : 20,,,,,,
A61GHYNS1DFT7,a,,"(0.25, 'n/a')",practicality_1:07:00::,crazy : 2,meshuga : 2,impractical : 4,unfunctional : 4,unwieldy : 4,romantic : 6,interoperable : 14,serviceable : 14,unimaginative : 14,applicative : 16,functional : 16,working : 16,practical : 18,pragmatic : 18,,,,,,
ALYZL40VCGIAA,a,,"(0.25, 'n/a')",pleasantness_1:07:00::,dreadful : 0,grim : 0,repellent : 1,harsh : 2,painful : 3,sharp : 3,bitter : 5,rough : 5,ungrateful : 6,unhappy : 6,embarrassing : 8,unpleasant : 8,dulcet : 11,idyllic : 11,grateful : 12,beautiful : 14,pleasant : 14,beastly : 15,hot : 20,
A3T8J0PN3DLSTM,a,,"(0.25, 'n/a')",pleasantness_1:07:00::,bitter : 0,dreadful : 0,hot : 0,painful : 0,repellent : 0,beastly : 1,embarrassing : 1,harsh : 1,rough : 1,unpleasant : 1,grim : 2,sharp : 2,ungrateful : 2,unhappy : 3,pleasant : 17,beautiful : 18,dulcet : 19,grateful : 19,idyllic : 20,
A3DNZIZRJ847AR,a,,,olfactory_property,anise-scented : 0,cedar-scented : 0,honey-scented : 0,musk-scented : 0,scented : 0,apple-scented : 1,cinnamon-scented : 1,inodorous : 1,non-aromatic : 1,smelling : 1,alliaceous : 19,balsam-scented : 19,clove-scented : 19,lemon-scented : 19,odorous : 19,almond-scented : 20,candy-scented : 20,ginger-scented : 20,mint-scented : 20,pleasant-smelling : 20
A21EPR8KW0GWX2,a,,"(0.1, 'n/a')",adequacy_1:07:00::,inadequate : 1,incapable : 1,lacking : 5,short-handed : 5,equal : 12,capable : 17,competent : 17,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.25, 'n/a')",adequacy_1:07:00::,inadequate : 2,incapable : 2,lacking : 2,short-handed : 5,equal : 9,capable : 14,competent : 14,,,,,,,,,,,,,
A2957SZ7ZI6H19,a,,"(0.25, 'n/a')",adequacy_1:07:00::,lacking : 0,incapable : 1,inadequate : 2,short-handed : 2,equal : 18,capable : 19,competent : 19,,,,,,,,,,,,,
A5P60L5IKHR34,a,,"(0.25, 'n/a')",usualness_1:07:00::,extraordinary : 0,unusual : 0,odd : 3,different : 4,unique : 4,out-of-the-way : 6,peculiar : 7,unaccustomed : 9,chronic : 13,accustomed : 14,regular : 16,usual : 20,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.25, 'n/a')",usualness_1:07:00::,unique : 0,unusual : 0,odd : 1,chronic : 3,extraordinary : 4,accustomed : 5,unaccustomed : 6,different : 7,out-of-the-way : 9,peculiar : 10,regular : 18,usual : 20,,,,,,,,
AMX5R6NLYNA2K,a,,"(0.25, 'n/a')",usualness_1:07:00::,different : 0,extraordinary : 0,odd : 0,out-of-the-way : 0,unique : 0,peculiar : 1,unaccustomed : 1,unusual : 1,accustomed : 19,chronic : 19,regular : 20,usual : 20,,,,,,,,
A27SMEOPKV84VI,a,,"(0.25, 'n/a')",propriety_1:07:00::,indecent : 0,improper : 1,wrong : 1,out-of-the-way : 5,kosher : 13,right : 17,fitting : 19,proper : 19,becoming : 20,,,,,,,,,,,
A291KO368YRYCR,a,,"(0.25, 'n/a')",propriety_1:07:00::,indecent : 2,improper : 3,out-of-the-way : 3,wrong : 4,right : 17,victorian : 17,becoming : 18,fitting : 18,proper : 18,halal : 19,kosher : 19,,,,,,,,,
A39X3UG42U8O0Q,a,,"(0.25, 'n/a')",propriety_1:07:00::,wrong : 2,improper : 4,indecent : 7,out-of-the-way : 9,victorian : 13,kosher : 15,right : 15,becoming : 16,fitting : 16,proper : 17,halal : 18,,,,,,,,,
A3454T4PU9GJM0,a,,"(0.1, 'n/a')",reassurance_1:04:00::,worrisome : 2,comforting : 16,assuring : 17,soothing : 19,reassuring : 20,,,,,,,,,,,,,,,
A1J8TVICSRC70W,a,,"(0.1, 'n/a')",reassurance_1:04:00::,worrisome : 4,assuring : 20,comforting : 20,reassuring : 20,soothing : 20,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",reassurance_1:04:00::,worrisome : 0,comforting : 18,soothing : 18,assuring : 20,reassuring : 20,,,,,,,,,,,,,,,
A7SM0NS3IFW96,a,,,courtesy_1:07:00::,discourteous : 0,courteous : 20,,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",courtesy_1:07:00::,discourteous : 0,abrupt : 1,unceremonious : 1,ungallant : 1,short : 2,gallant : 19,courteous : 20,,,,,,,,,,,,,
A3K8M2HF171NED,a,,"(0.25, 'n/a')",stature_1:07:02::,short-stalked : 0,squab : 0,squat : 0,little : 1,pint-sized : 1,thick : 5,half-length : 10,in_height : 10,stately : 15,long : 18,lanky : 20,leggy : 20,long-stalked : 20,tall : 20,,,,,,
A61GHYNS1DFT7,a,,"(0.25, 'n/a')",stature_1:07:02::,little : 2,pint-sized : 2,squab : 2,short-stalked : 4,squat : 7,half-length : 10,in_height : 10,thick : 10,lanky : 14,leggy : 14,long-stalked : 14,long : 16,tall : 16,stately : 18,,,,,,
A3HVFSD8K94SOR,a,,,virginity_1:26:00::,continent : 9,pure : 14,chaste : 19,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,,virginity_1:26:00::,continent : 19,chaste : 20,pure : 20,,,,,,,,,,,,,,,,,
A3454T4PU9GJM0,a,,,virginity_1:26:00::,chaste : 19,pure : 20,,,,,,,,,,,,,,,,,,
A3V1VK1A3NYN17,a,,"(0.25, 'n/a')",integrity_1:26:00::,aliquot : 0,broken : 0,divisional : 0,fractional : 1,full-length : 1,waist-length : 1,fragmentary : 2,full-page : 2,half : 2,halfway : 5,full : 16,whole : 19,entire : 20,livelong : 20,unbroken : 20,undivided : 20,,,,
A5P60L5IKHR34,a,,"(0.1, 'n/a')",integrity_1:26:00::,broken : 3,divisional : 3,fractional : 5,fragmentary : 5,halfway : 11,undivided : 13,entire : 15,,,,,,,,,,,,,
A3T8J0PN3DLSTM,a,,"(0.1, 'n/a')",integrity_1:26:00::,broken : 0,divisional : 0,fragmentary : 0,fractional : 1,half : 1,halfway : 1,aliquot : 6,entire : 19,full : 19,unbroken : 20,undivided : 20,whole : 20,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",valence_1:07:02::,univalent : 18,double : 20,monovalent : 20,multivalent : 20,polyvalent : 20,,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",valence_1:07:02::,multivalent : 4,polyvalent : 7,double : 9,monovalent : 11,univalent : 13,,,,,,,,,,,,,,,
A3I1UEEBAK8FGH,a,,"(0.25, 'n/a')",function_1:07:00::,decorative : 0,nonfunctional : 0,nonstructural : 1,functional : 17,structural : 20,useful : 20,,,,,,,,,,,,,,
A1446RY5LHQAU9,a,,"(0.1, 'n/a')",function_1:07:00::,nonfunctional : 0,decorative : 7,structural : 18,functional : 19,useful : 20,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",function_1:07:00::,nonfunctional : 0,nonstructural : 1,decorative : 2,functional : 20,structural : 20,useful : 20,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",fertility_1:26:00::,barren : 0,sterile : 0,unfertilized : 0,rank : 2,conceptive : 19,fecund : 20,fertile : 20,,,,,,,,,,,,,
ADG7FJ6JOH00S,a,,"(0.1, 'n/a')",fertility_1:26:00::,sterile : 0,barren : 2,unfertilized : 11,rank : 16,conceptive : 18,fertile : 18,fecund : 20,,,,,,,,,,,,,
AOIK8K4X34LGR,a,,"(0.25, 'n/a')",success_1:26:00::,defeated : 0,ruined : 0,scoreless : 0,hitless : 1,no-hit : 1,winless : 1,out : 2,down-and-out : 3,self-defeating : 3,unsuccessful : 3,attempted : 6,unfulfilled : 7,made : 13,productive : 13,roaring : 16,successful : 16,winning : 16,in : 18,boffo : 20,triple-crown : 20
A2MZMONB3L1JH0,a,,"(0.25, 'n/a')",success_1:26:00::,defeated : 0,ruined : 0,unsuccessful : 0,down-and-out : 1,hitless : 1,out : 1,scoreless : 1,self-defeating : 1,winless : 1,no-hit : 2,unfulfilled : 2,attempted : 9,productive : 18,boffo : 19,in : 19,made : 19,roaring : 19,triple-crown : 19,successful : 20,winning : 20
A61GHYNS1DFT7,a,,"(0.25, 'n/a')",success_1:26:00::,down-and-out : 1,ruined : 1,unfulfilled : 1,winless : 1,defeated : 3,hitless : 3,no-hit : 3,unsuccessful : 3,scoreless : 5,self-defeating : 5,out : 7,attempted : 11,in : 13,made : 13,productive : 13,successful : 16,winning : 16,boffo : 18,roaring : 18,triple-crown : 18
A1LOD3LNX7FUPJ,a,,,speed_1:07:00::,hot : 0,slow : 0,windy : 0,drawn-out : 1,slow-moving : 1,smart : 1,lazy : 2,swift : 2,winged : 3,meteoric : 7,sulky : 7,immediate : 11,hurrying : 13,express : 16,rapid : 16,accelerated : 19,fast : 20,high-speed : 20,instant : 20,quick : 20
A3T8J0PN3DLSTM,a,,"(0.25, 'n/a')",speed_1:07:00::,drawn-out : 0,slow : 0,slow-moving : 1,lazy : 2,hurrying : 16,meteoric : 17,swift : 17,fast : 18,high-speed : 18,quick : 18,rapid : 18,accelerated : 19,express : 19,winged : 19,immediate : 20,instant : 20,,,,
A7SM0NS3IFW96,a,,"(0.1, 'n/a')",morality_1:07:00::,impure : 0,incorrupt : 0,shocking : 0,white : 0,chaste : 1,immaculate : 1,scrofulous : 1,defiled : 19,fast : 19,immoral : 19,moral : 19,clean : 20,pure : 20,righteous : 20,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.25, 'n/a')",morality_1:07:00::,immoral : 0,scrofulous : 3,incorrupt : 5,immaculate : 7,shocking : 7,chaste : 8,pure : 9,white : 9,clean : 12,fast : 13,defiled : 14,impure : 16,righteous : 18,moral : 20,,,,,,
A3VEO96BSH9SPX,a,,"(0.25, 'n/a')",volume_1:07:02::,gentle : 0,quiet : 0,whispering : 0,little : 1,soft : 1,soft-spoken : 1,low : 3,dull : 4,rustling : 7,vocal : 10,big : 16,clarion : 16,loud : 18,loud-voiced : 18,euphonious : 19,shouted : 19,blasting : 20,earsplitting : 20,earthshaking : 20,shattering : 20
A2UTSU4S30JXBB,a,,"(0.25, 'n/a')",volume_1:07:02::,little : 0,soft : 0,soft-spoken : 0,whispering : 0,clarion : 1,dull : 2,gentle : 2,low : 2,quiet : 2,big : 18,shouted : 18,blasting : 19,euphonious : 19,loud : 19,loud-voiced : 19,vocal : 19,earsplitting : 20,earthshaking : 20,rustling : 20,shattering : 20
A29RBRL117PYX0,a,,"(0.25, 'n/a')",volume_1:07:02::,quiet : 0,whispering : 0,dull : 1,little : 1,low : 1,soft : 2,soft-spoken : 2,gentle : 3,rustling : 4,vocal : 16,clarion : 17,big : 18,euphonious : 18,shattering : 18,loud : 19,loud-voiced : 19,shouted : 19,blasting : 20,earsplitting : 20,earthshaking : 20
A3KOEOCIY5LUB,a,,"(0.1, 'n/a')",wildness_1:07:00::,semi-wild : 3,wild : 17,undomesticated : 18,unbroken : 19,savage : 20,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",wildness_1:07:00::,semi-wild : 14,unbroken : 18,undomesticated : 18,savage : 20,wild : 20,,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",wildness_1:07:00::,unbroken : 9,semi-wild : 16,savage : 19,undomesticated : 19,wild : 20,,,,,,,,,,,,,,,
A90IJEH24967N,a,,"(0.25, 'n/a')",hardness_1:07:01::,fluffy : 0,padded : 0,soft : 0,spongy : 0,cheeselike : 1,velvet : 1,compressible : 2,woolly : 2,yielding : 2,al_dente : 17,erect : 17,set : 17,steely : 18,firm : 19,unyielding : 19,adamantine : 20,corneous : 20,hard : 20,stony : 20,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",hardness_1:07:01::,fluffy : 0,set : 0,soft : 0,spongy : 0,yielding : 0,hard : 1,woolly : 2,erect : 3,cheeselike : 4,padded : 5,corneous : 6,adamantine : 8,al_dente : 10,velvet : 12,unyielding : 13,brushed : 14,compressible : 16,steely : 16,firm : 19,stony : 19
A3GLMBZSG3VU4P,a,,"(0.25, 'n/a')",hardness_1:07:01::,fluffy : 0,padded : 0,soft : 0,yielding : 0,cheeselike : 1,compressible : 2,velvet : 2,woolly : 2,firm : 4,spongy : 4,brushed : 6,adamantine : 12,al_dente : 12,set : 14,hard : 19,stony : 19,corneous : 20,erect : 20,steely : 20,unyielding : 20
AEF0KPEB244C7,a,,"(0.1, 'n/a')",conventionality_1:07:00::,go-as-you-please : 0,irregular : 0,unconventional : 0,bohemian : 1,customary : 16,conventional : 20,formulaic : 20,stuffy : 20,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",conventionality_1:07:00::,unconventional : 0,go-as-you-please : 5,irregular : 6,conventional : 8,received : 10,stuffy : 11,bohemian : 12,formulaic : 13,customary : 20,,,,,,,,,,,
A3542PB4Z0NE80,a,,"(0.25, 'n/a')",normality_1:26:00::,defective : 0,freakish : 0,aberrant : 1,perverted : 1,subnormal : 2,anomalous : 3,brachydactylic : 3,unnatural : 4,irregular : 5,average : 11,mean : 11,vicarious : 14,regular : 16,natural : 17,typical : 17,normal : 20,supernormal : 20,,,
A333STM8M95GJX,a,,"(0.25, 'n/a')",normality_1:26:00::,freakish : 0,perverted : 1,supernormal : 1,aberrant : 2,antidromic : 2,unnatural : 2,anomalous : 3,brachydactylic : 3,subnormal : 3,defective : 4,mean : 4,vicarious : 4,irregular : 5,natural : 18,average : 19,typical : 19,normal : 20,regular : 20,,
A291KO368YRYCR,a,,"(0.1, 'n/a')",position_1:15:00::,leftmost : 0,left : 1,starboard : 1,left-hand : 3,right-hand : 16,port : 18,right : 18,rightmost : 19,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",position_1:15:00::,port : 3,rightmost : 4,near : 5,far : 6,starboard : 7,right : 13,right-hand : 14,left : 15,left-hand : 16,leftmost : 16,,,,,,,,,,
A1YCGICA8XCNBH,r,,,appropriateness_1:07:00::,pertinent : 0,unbefitting : 0,wrong : 0,apropos : 1,inappropriate : 1,befitting : 2,malapropos : 3,pat : 8,grade-appropriate : 18,appropriate : 19,inapposite : 20,right : 20,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.25, 'n/a')",appropriateness_1:07:00::,wrong : 1,inappropriate : 3,inapposite : 4,unbefitting : 5,pertinent : 8,apropos : 12,befitting : 14,malapropos : 17,right : 18,grade-appropriate : 19,appropriate : 20,pat : 20,,,,,,,,
AMX5R6NLYNA2K,a,,"(0.25, 'n/a')",appropriateness_1:07:00::,inapposite : 0,inappropriate : 0,wrong : 0,malapropos : 1,unbefitting : 1,pat : 18,apropos : 19,befitting : 19,grade-appropriate : 19,appropriate : 20,pertinent : 20,right : 20,,,,,,,,
A2XFO0X6RCS98M,a,,,commonality_1:07:00::,common : 11,communal : 16,public : 16,,,,,,,,,,,,,,,,,
A406XUSUVXE02,a,,,commonality_1:07:00::,communal : 19,public : 19,common : 20,,,,,,,,,,,,,,,,,
ASP34T02S22M9,a,,,commonality_1:07:00::,public : 4,communal : 14,common : 20,,,,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.25, 'n/a')",sensitivity_1:12:00::,dead : 0,insensitive : 0,soulless : 1,unaffected : 2,callous : 3,thick-skinned : 5,dull : 8,alive : 16,oversensitive : 20,sensitive : 20,touchy : 20,,,,,,,,,
A1A6DUWWGNEE4W,a,,"(0.25, 'n/a')",sensitivity_1:12:00::,insensitive : 0,dead : 1,soulless : 1,dull : 2,callous : 3,thick-skinned : 8,unaffected : 9,alive : 16,touchy : 18,sensitive : 19,oversensitive : 20,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",solidity_1:26:00::,cavernous : 5,fistular : 5,hollow : 5,tubular : 5,deep-set : 15,massive : 15,solid : 17,,,,,,,,,,,,,
A1XK08CLPX26PA,a,,"(0.1, 'n/a')",solidity_1:26:00::,cavernous : 0,fistular : 3,hollow : 3,tubular : 3,solid : 17,deep-set : 20,,,,,,,,,,,,,,
A3T8J0PN3DLSTM,a,,"(0.1, 'n/a')",solidity_1:26:00::,hollow : 0,cavernous : 2,tubular : 2,fistular : 19,solid : 20,,,,,,,,,,,,,,,
AKCX7BFGR7UUO,a,,"(0.1, 'n/a')",depth_1:07:00::,abysmal : 0,sound : 1,light : 2,fordable : 3,shallow : 4,walk-in : 5,ankle-deep : 6,reefy : 15,neritic : 16,deep : 17,deep-water : 18,bottomless : 19,profound : 20,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.25, 'n/a')",depth_1:07:00::,light : 0,shallow : 0,ankle-deep : 1,sound : 1,abysmal : 6,walk-in : 7,bottomless : 9,fordable : 10,reefy : 11,deep-water : 13,neritic : 16,deep : 19,profound : 20,,,,,,,
A03922113RU44GENR8ATX,a,,"(0.25, 'n/a')",depth_1:07:00::,shallow : 0,ankle-deep : 3,walk-in : 4,fordable : 5,neritic : 6,deep-water : 18,deep : 19,profound : 19,bottomless : 20,,,,,,,,,,,
